GTA06,Latitude,Longitude
119,43.65740984,-79.46490299
120,43.64559851,-79.46675843
121,43.63618929,-79.46402919
122,43.64242008,-79.48135768
123,43.65444889,-79.49322076
124,43.65482427,-79.4825722
125,43.65672872,-79.47343611
126,43.66406404,-79.47710646
127,43.66309189,-79.48867665
128,43.66261161,-79.50140683
129,43.66901725,-79.49156837
130,43.67447222,-79.50389754
131,43.68933783,-79.50602373
132,43.6981617,-79.51017441
133,43.7040728,-79.52598989
134,43.70532565,-79.51273396
135,43.71101764,-79.52396387
136,43.7148959,-79.51273806
137,43.71300169,-79.49721087
138,43.70670155,-79.50113144
139,43.69880255,-79.49612004
140,43.68903077,-79.49609576
141,43.6914792,-79.48909094
142,43.68440854,-79.49135072
143,43.67855997,-79.48930229
144,43.67747351,-79.47995995
145,43.67383779,-79.47375218
146,43.66923869,-79.47135139
147,43.6706679,-79.45707515
148,43.6773318,-79.46347716
149,43.68536297,-79.47732171
150,43.68594703,-79.46769668
151,43.69307745,-79.47965704
152,43.69496315,-79.47030556
153,43.70201308,-79.48319928
154,43.71453362,-79.48496321
155,43.71687304,-79.475424
156,43.70421609,-79.47268771
157,43.71943336,-79.46373289
158,43.70894983,-79.46121603
159,43.70328918,-79.46070737
160,43.69916455,-79.45951755
161,43.69579759,-79.45780039
162,43.6876648,-79.45897754
163,43.68937063,-79.45179837
164,43.67997207,-79.45084114
165,43.67526117,-79.44396777
166,43.67070435,-79.44183895
167,43.67304105,-79.42842288
168,43.67470345,-79.41889955
169,43.67964487,-79.42083071
170,43.67801347,-79.42952346
171,43.68297237,-79.44066321
172,43.68563471,-79.43471138
173,43.6878231,-79.42579444
174,43.69593447,-79.42834664
175,43.69447276,-79.44001538
176,43.69032048,-79.44435258
177,43.7006955,-79.44551443
178,43.70941445,-79.44769478
179,43.71870296,-79.45067537
180,43.72576209,-79.45272822
181,43.72899419,-79.43989082
182,43.72147939,-79.43827618
183,43.71246599,-79.43531549
184,43.70312473,-79.43294134
185,43.69413411,-79.41888262
186,43.68031656,-79.41185733
187,43.67724364,-79.40601647
188,43.68518149,-79.40601081
189,43.69498067,-79.41000533
190,43.70191679,-79.41275162
191,43.70571588,-79.42146639
192,43.71596248,-79.42291887
193,43.7253126,-79.42311831
194,43.73455129,-79.42600391
195,43.74173838,-79.41330334
196,43.72925773,-79.40964468
197,43.71817288,-79.40705208
198,43.71416257,-79.41660715
199,43.70702384,-79.41336495
200,43.70905804,-79.40552664
201,43.70114914,-79.40293318
202,43.69202165,-79.39933508
203,43.68340285,-79.39628925
204,43.68670373,-79.39032363
205,43.67710862,-79.37847029
206,43.68367643,-79.37377373
207,43.6899541,-79.38096332
208,43.69588642,-79.38445461
209,43.69895164,-79.39167084
210,43.70443261,-79.39378232
211,43.70999785,-79.39638209
212,43.71375252,-79.39027008
213,43.72210542,-79.39525193
214,43.73098415,-79.3972966
215,43.72005467,-79.38374189
216,43.70431797,-79.3816388
217,43.70560388,-79.36874931
218,43.72327351,-79.37317359
219,43.71639864,-79.36527116
220,43.71038555,-79.35682646
221,43.70885789,-79.3478108
222,43.70336843,-79.34382063
223,43.71592328,-79.33266246
224,43.72329641,-79.34670713
225,43.72772932,-79.36217255
226,43.7377347,-79.3758833
227,43.73862529,-79.39184329
228,43.75153687,-79.40158829
229,43.75382169,-79.39109917
230,43.75811932,-79.37386855
231,43.75935746,-79.35491509
232,43.76293345,-79.3447785
233,43.76371426,-79.32723568
234,43.75651464,-79.32600133
235,43.75026092,-79.33823039
236,43.74903294,-79.35005961
237,43.74439159,-79.36685531
238,43.74022106,-79.34717552
239,43.74711668,-79.32230828
240,43.73773891,-79.32397758
241,43.73393053,-79.33598695
242,43.7322571,-79.3480636
243,43.72671935,-79.33110662
244,43.73288191,-79.31636709
245,43.73081835,-79.30818202
246,43.72068969,-79.31580594
247,43.7206636,-79.30476964
248,43.7108262,-79.30356143
249,43.70173924,-79.30302186
250,43.69373702,-79.30612321
251,43.68770862,-79.30257725
252,43.68393842,-79.29249049
253,43.67596233,-79.29133299
254,43.66922814,-79.29378753
255,43.67223406,-79.30469888
256,43.68049605,-79.30475856
257,43.67453334,-79.31448379
258,43.68400683,-79.31829541
259,43.69435166,-79.32225889
260,43.71211209,-79.31311959
261,43.70615459,-79.32601571
262,43.69722367,-79.33592575
263,43.68907782,-79.33339632
264,43.68125186,-79.32762799
265,43.67428297,-79.32441961
266,43.66733817,-79.32254774
267,43.66082298,-79.33475765
268,43.65823663,-79.34631793
269,43.66868374,-79.33196541
270,43.66444052,-79.33943695
271,43.66273505,-79.34994217
272,43.66919358,-79.3504905
273,43.67499476,-79.34073736
274,43.67704595,-79.33486366
275,43.68274619,-79.33558904
276,43.6815491,-79.34181815
277,43.67514393,-79.34757908
278,43.67408256,-79.35630646
279,43.67884374,-79.35884427
280,43.6806895,-79.35020708
281,43.69085309,-79.34541628
282,43.68881702,-79.35561721
283,43.69277595,-79.36203751
284,43.69600502,-79.36931395
285,43.6268526,-79.48032021
286,43.6143209,-79.48447865
287,43.61246672,-79.49310488
288,43.61919965,-79.50080585
289,43.60766878,-79.50264206
290,43.59586016,-79.50991535
291,43.60453832,-79.51126271
292,43.61223208,-79.52005218
293,43.60065102,-79.51932457
294,43.59438187,-79.526774
295,43.59045515,-79.53948079
296,43.60055101,-79.53551126
297,43.60172595,-79.55024753
298,43.60799387,-79.53862854
299,43.61803454,-79.53902803
300,43.6226473,-79.52097199
301,43.62745338,-79.50492952
302,43.63279051,-79.49246041
303,43.63434048,-79.48083215
304,43.63905327,-79.48956449
305,43.64254726,-79.49959581
306,43.63785994,-79.51416647
307,43.63430704,-79.52538453
308,43.6275301,-79.5400102
309,43.613556,-79.55847416
310,43.62217122,-79.56144199
311,43.62787651,-79.55090818
312,43.63618451,-79.53874845
313,43.64544068,-79.52734186
314,43.65171796,-79.51852741
315,43.64442819,-79.50942919
316,43.65329097,-79.50973627
317,43.65570093,-79.50256962
318,43.66808759,-79.51631842
319,43.65968525,-79.52427616
320,43.6565419,-79.53431688
321,43.64886353,-79.53460243
322,43.64985849,-79.544287
323,43.63514729,-79.54878948
324,43.63044088,-79.56785527
325,43.63529393,-79.5790375
326,43.63984135,-79.57003241
327,43.64079546,-79.56352922
328,43.64124637,-79.55987508
329,43.6428883,-79.55245244
330,43.65181862,-79.55656687
331,43.65187921,-79.56454
332,43.65086843,-79.56822859
333,43.64839742,-79.57297175
334,43.64488235,-79.5826123
335,43.65318289,-79.59240741
336,43.66374491,-79.57817717
337,43.66487295,-79.56538162
338,43.66307377,-79.55110026
339,43.66548884,-79.53992808
340,43.67269321,-79.52899422
341,43.67944933,-79.51592063
342,43.68742094,-79.52122465
343,43.68658892,-79.53462514
344,43.67403869,-79.54216154
345,43.67158637,-79.55536644
346,43.68005795,-79.57054412
347,43.68019403,-79.55905082
348,43.68294391,-79.54690969
349,43.69624412,-79.52386155
350,43.70163043,-79.54162142
351,43.69150524,-79.55077973
352,43.68865657,-79.56253544
353,43.69851146,-79.55684843
354,43.70828612,-79.55857113
355,43.70062588,-79.5693092
356,43.69812207,-79.58036557
357,43.68104699,-79.58583616
358,43.6921521,-79.59446756
359,43.70131813,-79.59906297
360,43.71256409,-79.60547715
361,43.71078139,-79.58656074
362,43.70925463,-79.57280996
363,43.71766619,-79.56343931
364,43.71540126,-79.5484364
365,43.72545871,-79.54941085
366,43.7283377,-79.56833845
367,43.7163433,-79.57594453
368,43.72343562,-79.58500164
369,43.72221537,-79.60159483
370,43.72673365,-79.61980077
371,43.7297799,-79.61069465
372,43.73031563,-79.59505153
373,43.73524184,-79.58539404
374,43.73966115,-79.57272843
375,43.73708094,-79.55742949
376,43.74349721,-79.58815973
377,43.73925291,-79.59729267
378,43.74094537,-79.61856324
379,43.7500099,-79.61698366
380,43.75268964,-79.60285767
381,43.74569454,-79.60020957
382,43.75293454,-79.59304804
383,43.75292056,-79.581819
384,43.7554002,-79.57558626
385,43.75504257,-79.56563895
386,43.75616927,-79.55588339
387,43.76361196,-79.55292884
388,43.76277474,-79.53649194
389,43.76540963,-79.52428501
390,43.76472089,-79.5145485
391,43.77443501,-79.50553255
392,43.77364123,-79.48791609
393,43.7764012,-79.47578154
394,43.76061062,-79.47177425
395,43.75901992,-79.484678
396,43.75712866,-79.49432699
397,43.76403734,-79.49610728
398,43.76643042,-79.50158999
399,43.75416449,-79.50318565
400,43.74854541,-79.50899168
401,43.75181296,-79.52312352
402,43.74142194,-79.53742281
403,43.74642869,-79.55183365
404,43.72169809,-79.53573956
405,43.72591997,-79.52754853
406,43.7427788,-79.52093237
407,43.72980353,-79.51765555
408,43.71950056,-79.51307188
409,43.72086008,-79.49955684
410,43.72604136,-79.49865515
411,43.73462221,-79.5036901
412,43.74782864,-79.49385262
413,43.73798552,-79.49022513
414,43.7304168,-79.48293766
415,43.72463359,-79.48218742
416,43.74004177,-79.48007503
417,43.74926091,-79.48511329
418,43.75030467,-79.48028154
419,43.75164591,-79.47300619
420,43.7477829,-79.45938808
421,43.74091176,-79.4643937
422,43.73145819,-79.46602828
423,43.73260725,-79.4473032
424,43.74064699,-79.44325992
425,43.74717922,-79.44595517
426,43.75141937,-79.44769326
427,43.75505537,-79.4510526
428,43.76290656,-79.4554905
429,43.77419667,-79.45499747
430,43.7814361,-79.46230451
431,43.78550662,-79.45108183
432,43.78699407,-79.4421435
433,43.79244653,-79.43410726
434,43.78737533,-79.43133423
435,43.78001624,-79.4318695
436,43.76869871,-79.44608088
437,43.76959515,-79.43469119
438,43.7726134,-79.42261453
439,43.76173332,-79.42702736
440,43.74759152,-79.42869686
441,43.75539159,-79.41822499
442,43.76472147,-79.4131824
443,43.77331559,-79.41559072
444,43.78314874,-79.41827982
445,43.7897689,-79.42179424
446,43.79505758,-79.42375272
447,43.79298809,-79.41539786
448,43.78323074,-79.4149583
449,43.78457334,-79.41133756
450,43.7755792,-79.4127499
451,43.77528621,-79.40802954
452,43.76496583,-79.40886309
453,43.76760685,-79.40486219
454,43.75809897,-79.4073116
455,43.76231378,-79.39775427
456,43.76917484,-79.39510331
457,43.77820809,-79.3980057
458,43.78690369,-79.40077983
459,43.79594693,-79.40359031
460,43.80079689,-79.38531613
461,43.79033292,-79.38521937
462,43.78051119,-79.38208715
463,43.77209448,-79.37811254
464,43.76616748,-79.38184646
465,43.7683539,-79.36811851
466,43.77033525,-79.35349881
467,43.77890899,-79.35767292
468,43.78304052,-79.37046025
469,43.79625039,-79.37437495
470,43.80047843,-79.3640624
471,43.80652199,-79.36085535
472,43.80994967,-79.3529132
473,43.80748321,-79.34223107
474,43.80235258,-79.34985719
475,43.79310031,-79.36173722
476,43.79573178,-79.34966967
477,43.7972655,-79.3379146
478,43.78820378,-79.36073044
479,43.79060226,-79.34784808
480,43.7889522,-79.33661938
481,43.78199819,-79.34633106
482,43.77964733,-79.33221025
483,43.77151178,-79.34283311
484,43.77159097,-79.33067748
485,43.76416454,-79.3099434
486,43.76690405,-79.29740669
487,43.7703144,-79.28265005
488,43.77364461,-79.26963237
489,43.773504,-79.26455244
490,43.77559533,-79.25799684
491,43.77763218,-79.24818751
492,43.77977847,-79.23835538
493,43.7852545,-79.22871872
494,43.78102905,-79.22369886
495,43.77520643,-79.21207369
496,43.77295348,-79.22533791
497,43.76925481,-79.24111194
498,43.76509373,-79.25376584
499,43.76510598,-79.26470311
500,43.75918419,-79.270585
501,43.7594879,-79.27960615
502,43.75299403,-79.28221603
503,43.75428838,-79.29294392
504,43.75488014,-79.30875504
505,43.74923742,-79.30272532
506,43.73586994,-79.30448473
507,43.73877995,-79.29632696
508,43.74219201,-79.28677066
509,43.74610963,-79.27514644
510,43.75695316,-79.26185724
511,43.75692212,-79.25205848
512,43.76208054,-79.23522402
513,43.76474653,-79.22176497
514,43.76764395,-79.20927818
515,43.75682483,-79.21336133
516,43.75609459,-79.23191016
517,43.74913894,-79.22727862
518,43.74486603,-79.23536526
519,43.73533233,-79.24285193
520,43.74120309,-79.24483968
521,43.75023883,-79.24628345
522,43.74789327,-79.25803989
523,43.73991257,-79.25896254
524,43.73715238,-79.27227804
525,43.7331303,-79.28410823
526,43.72978222,-79.29338414
527,43.7271501,-79.30068983
528,43.7159355,-79.29274441
529,43.7222123,-79.29019934
530,43.72346308,-79.28084039
531,43.7274548,-79.26878846
532,43.73039481,-79.25344575
533,43.72048514,-79.26281618
534,43.71603897,-79.2766717
535,43.71111651,-79.26365754
536,43.70659714,-79.27320772
537,43.70496291,-79.28776032
538,43.69734644,-79.27988893
539,43.6866634,-79.28070494
540,43.67943724,-79.27653857
541,43.69045636,-79.26311666
542,43.69306652,-79.26714388
543,43.70325947,-79.24988785
544,43.70662583,-79.25762774
545,43.72408616,-79.24275463
546,43.71185245,-79.23768689
547,43.72296223,-79.22491366
548,43.73366033,-79.23078209
549,43.74000397,-79.22278969
550,43.73201691,-79.21842065
551,43.73725664,-79.21145264
552,43.74572048,-79.21514756
553,43.75058221,-79.20753047
554,43.7434964,-79.20318551
555,43.75175143,-79.18882397
556,43.76309306,-79.16071231
557,43.75950816,-79.18626037
558,43.7616397,-79.19829818
559,43.76539284,-79.1837936
560,43.773136,-79.18874249
561,43.77992462,-79.19990182
562,43.7869848,-79.20215173
563,43.78987252,-79.21210051
564,43.79169045,-79.19016391
565,43.79361517,-79.18024175
566,43.78328253,-79.18698736
567,43.78503454,-79.17684538
568,43.77277755,-79.16637637
569,43.78128157,-79.15660079
570,43.78392713,-79.14402402
571,43.79211624,-79.13265388
572,43.8022084,-79.15914142
573,43.78958109,-79.16532253
574,43.79552818,-79.16740407
575,43.80267896,-79.17839351
576,43.79997343,-79.19350615
577,43.79747133,-79.20727352
578,43.79228388,-79.22787953
579,43.78743044,-79.24682087
580,43.78435046,-79.26145178
581,43.78237449,-79.27144261
582,43.78014732,-79.28141817
583,43.7779481,-79.29124545
584,43.77567155,-79.30105835
585,43.77297289,-79.31339951
586,43.78010955,-79.31636105
587,43.78883908,-79.32112878
588,43.79938036,-79.32586828
589,43.80949706,-79.3360173
590,43.81152732,-79.3285347
591,43.81456506,-79.31361388
592,43.80340978,-79.30868411
593,43.79291507,-79.30910824
594,43.78423695,-79.30462044
595,43.78673201,-79.2952155
596,43.79610039,-79.29641185
597,43.79219931,-79.28571632
598,43.80677901,-79.29394918
599,43.81804803,-79.2991754
600,43.82163971,-79.28425287
601,43.8102706,-79.2791112
602,43.80128773,-79.27988755
603,43.79212614,-79.27605601
604,43.79018505,-79.26360416
605,43.79467158,-79.26689078
606,43.80359661,-79.26526094
607,43.81351941,-79.26451241
608,43.82456595,-79.26926662
609,43.82772409,-79.25718741
610,43.81597625,-79.25234277
611,43.8039466,-79.25130375
612,43.79528669,-79.24902713
613,43.80053872,-79.22769597
614,43.8063862,-79.23759987
615,43.8191835,-79.23511191
616,43.83121578,-79.2432964
617,43.83383932,-79.22928285
618,43.82415946,-79.22273999
619,43.81187503,-79.22819555
620,43.80481977,-79.21080814
621,43.81388439,-79.21327189
622,43.81908982,-79.20601844
623,43.8076235,-79.19717381
624,43.80980017,-79.18240801
625,43.82958919,-79.1827324
1001,43.94561856,-79.16392412
1002,43.97411675,-79.13160101
1003,43.96793808,-79.07893387
1004,43.90673145,-79.18040698
1005,43.92991861,-79.07930366
1006,43.93691745,-79.0561913
1007,43.94139133,-79.03354822
1008,43.89862457,-79.18232308
1009,43.90376761,-79.16070575
1010,43.90984885,-79.13476204
1011,43.91632821,-79.11001663
